0.952,2.709
0.952,3.592
0.952,4.486
0.952,5.402
0.952,6.27
1.532,2.709
1.532,3.592
1.532,4.486
1.532,5.402
1.532,6.27
1.532,7.152
2.064,2.709
2.064,3.592
2.064,4.486
2.064,5.402
2.064,6.27
2.064,7.152
2.598,2.709
2.598,3.592
2.598,4.486
2.598,5.402
2.598,6.27
2.598,7.152
3.14,2.709
3.14,3.592
3.14,4.486
3.14,5.402
3.14,6.27
3.14,7.152
3.671,2.709
3.671,3.592
3.671,4.486
3.671,5.402
3.671,6.27
3.671,7.152
4.207,2.709
4.207,3.592
4.207,4.486
4.207,5.402
4.207,6.27
4.207,7.152
4.7207,2.709
4.7207,3.592
4.7207,4.486
4.7207,5.402
4.7207,6.27
4.7207,7.152
5.28,2.709
5.28,3.592
5.28,4.486
5.28,5.402
5.28,6.27
5.28,7.152
5.822,3.592
5.822,4.486
5.822,5.402
5.822,6.27
5.822,7.152
